Mode of entry,Month/Year,Visitor Origin,Country,Number of Visitors (Rounded to nearest hundred)
Road,10/01/2011 12:00:00 AM,Pacific,United States,200
Road,10/01/2011 12:00:00 AM,Overseas,Overseas,0
Air,11/01/2011 12:00:00 AM,Atlantic Canada,Canada,9000
Air,11/01/2011 12:00:00 AM,Quebec,Canada,2900
Air,11/01/2011 12:00:00 AM,Ontario,Canada,18900
Air,11/01/2011 12:00:00 AM,Western Canada,Canada,5300
Air,11/01/2011 12:00:00 AM,New England (inc Maine),United States,400
Air,11/01/2011 12:00:00 AM,Middle Atlantic,United States,600
Air,11/01/2011 12:00:00 AM,East North Central,United States,500
Air,11/01/2011 12:00:00 AM,West North Central,United States,100
Air,11/01/2011 12:00:00 AM,South Atlantic,United States,600
Air,11/01/2011 12:00:00 AM,East South Central,United States,300
Air,11/01/2011 12:00:00 AM,West South Central,United States,300
Air,11/01/2011 12:00:00 AM,Mountain,United States,100
Air,11/01/2011 12:00:00 AM,Pacific,United States,400
Air,11/01/2011 12:00:00 AM,United Kingdom,Overseas,1000
Air,11/01/2011 12:00:00 AM,Germany,Overseas,400
Air,11/01/2011 12:00:00 AM,Other Europe,Overseas,500
Air,11/01/2011 12:00:00 AM,Other Overseas,Overseas,2000
Road,11/01/2011 12:00:00 AM,Atlantic Canada,Canada,71400
Road,11/01/2011 12:00:00 AM,Quebec,Canada,2200
Road,11/01/2011 12:00:00 AM,Ontario,Canada,4900
Road,11/01/2011 12:00:00 AM,Western Canada,Canada,400
Air,05/01/2012 12:00:00 AM,Germany,Overseas,1100
Road,11/01/2011 12:00:00 AM,Maine (by road only),United States,500
Road,11/01/2011 12:00:00 AM,Other New England,United States,1200
Road,11/01/2011 12:00:00 AM,Middle Atlantic,United States,300
Road,11/01/2011 12:00:00 AM,East North Central,United States,100
Road,11/01/2011 12:00:00 AM,West North Central,United States,100
Road,11/01/2011 12:00:00 AM,South Atlantic,United States,200
Road,11/01/2011 12:00:00 AM,East South Central,United States,0
Road,11/01/2011 12:00:00 AM,West South Central,United States,0
Road,11/01/2011 12:00:00 AM,Mountain,United States,0
Road,11/01/2011 12:00:00 AM,Pacific,United States,100
Road,11/01/2011 12:00:00 AM,Overseas,Overseas,0
Air,12/01/2011 12:00:00 AM,Atlantic Canada,Canada,7400
Air,12/01/2011 12:00:00 AM,Quebec,Canada,2500
Air,12/01/2011 12:00:00 AM,Ontario,Canada,14200
Air,12/01/2011 12:00:00 AM,Western Canada,Canada,5300
Air,12/01/2011 12:00:00 AM,New England (inc Maine),United States,400
Air,12/01/2011 12:00:00 AM,Middle Atlantic,United States,500
Air,12/01/2011 12:00:00 AM,East North Central,United States,400
Air,12/01/2011 12:00:00 AM,West North Central,United States,200
Air,12/01/2011 12:00:00 AM,South Atlantic,United States,600
Air,12/01/2011 12:00:00 AM,East South Central,United States,100
Air,12/01/2011 12:00:00 AM,West South Central,United States,300
Air,12/01/2011 12:00:00 AM,Mountain,United States,200
Air,12/01/2011 12:00:00 AM,Pacific,United States,300
Air,12/01/2011 12:00:00 AM,United Kingdom,Overseas,800
Air,12/01/2011 12:00:00 AM,Germany,Overseas,400
Air,12/01/2011 12:00:00 AM,Other Europe,Overseas,400
Air,12/01/2011 12:00:00 AM,Other Overseas,Overseas,1600
Road,12/01/2011 12:00:00 AM,Atlantic Canada,Canada,66200
Road,12/01/2011 12:00:00 AM,Quebec,Canada,1200
Road,12/01/2011 12:00:00 AM,Ontario,Canada,5000
Road,12/01/2011 12:00:00 AM,Western Canada,Canada,400
Road,12/01/2011 12:00:00 AM,Maine (by road only),United States,500
Road,12/01/2011 12:00:00 AM,Other New England,United States,1000
Road,12/01/2011 12:00:00 AM,Middle Atlantic,United States,300
Road,12/01/2011 12:00:00 AM,East North Central,United States,100
Road,12/01/2011 12:00:00 AM,West North Central,United States,0
Road,12/01/2011 12:00:00 AM,South Atlantic,United States,200
Road,12/01/2011 12:00:00 AM,East South Central,United States,0
Road,12/01/2011 12:00:00 AM,West South Central,United States,100
Road,12/01/2011 12:00:00 AM,Mountain,United States,0
Road,12/01/2011 12:00:00 AM,Pacific,United States,100
Road,12/01/2011 12:00:00 AM,Overseas,Overseas,0
Air,01/01/2012 12:00:00 AM,Atlantic Canada,Canada,6800
Air,01/01/2012 12:00:00 AM,Quebec,Canada,3100
Air,01/01/2012 12:00:00 AM,Ontario,Canada,16000
Air,01/01/2012 12:00:00 AM,Western Canada,Canada,7000
Air,01/01/2012 12:00:00 AM,New England (inc Maine),United States,400
Air,01/01/2012 12:00:00 AM,Middle Atlantic,United States,400
Air,01/01/2012 12:00:00 AM,East North Central,United States,300
Air,01/01/2012 12:00:00 AM,West North Central,United States,100
Air,01/01/2012 12:00:00 AM,South Atlantic,United States,700
Air,01/01/2012 12:00:00 AM,East South Central,United States,0
Air,01/01/2012 12:00:00 AM,West South Central,United States,300
Air,01/01/2012 12:00:00 AM,Mountain,United States,100
Air,01/01/2012 12:00:00 AM,Pacific,United States,400
Air,01/01/2012 12:00:00 AM,United Kingdom,Overseas,800
Air,01/01/2012 12:00:00 AM,Germany,Overseas,300
Air,01/01/2012 12:00:00 AM,Other Europe,Overseas,700
Air,01/01/2012 12:00:00 AM,Other Overseas,Overseas,1300
Road,01/01/2012 12:00:00 AM,Atlantic Canada,Canada,54100
Road,01/01/2012 12:00:00 AM,Quebec,Canada,900
Road,01/01/2012 12:00:00 AM,Ontario,Canada,3300
Road,01/01/2012 12:00:00 AM,Western Canada,Canada,200
Road,01/01/2012 12:00:00 AM,Maine (by road only),United States,300
Road,01/01/2012 12:00:00 AM,Other New England,United States,700
Road,01/01/2012 12:00:00 AM,Middle Atlantic,United States,200
Road,01/01/2012 12:00:00 AM,East North Central,United States,100
Road,01/01/2012 12:00:00 AM,West North Central,United States,0
Road,01/01/2012 12:00:00 AM,South Atlantic,United States,100
Road,01/01/2012 12:00:00 AM,East South Central,United States,0
Road,01/01/2012 12:00:00 AM,West South Central,United States,0
Road,01/01/2012 12:00:00 AM,Mountain,United States,0
Road,01/01/2012 12:00:00 AM,Pacific,United States,100
Road,01/01/2012 12:00:00 AM,Overseas,Overseas,0
Air,02/01/2012 12:00:00 AM,Atlantic Canada,Canada,7500
Air,02/01/2012 12:00:00 AM,Quebec,Canada,2000
Air,02/01/2012 12:00:00 AM,Ontario,Canada,9900
Air,02/01/2012 12:00:00 AM,Western Canada,Canada,3900
Air,02/01/2012 12:00:00 AM,New England (inc Maine),United States,400
Air,02/01/2012 12:00:00 AM,Middle Atlantic,United States,300
Air,02/01/2012 12:00:00 AM,East North Central,United States,300
Air,02/01/2012 12:00:00 AM,West North Central,United States,0
Air,02/01/2012 12:00:00 AM,South Atlantic,United States,300
Air,02/01/2012 12:00:00 AM,East South Central,United States,100
Air,02/01/2012 12:00:00 AM,West South Central,United States,100
Air,02/01/2012 12:00:00 AM,Mountain,United States,100
Air,02/01/2012 12:00:00 AM,Pacific,United States,300
Air,02/01/2012 12:00:00 AM,United Kingdom,Overseas,500
Air,02/01/2012 12:00:00 AM,Germany,Overseas,100
Air,02/01/2012 12:00:00 AM,Other Europe,Overseas,500
Air,02/01/2012 12:00:00 AM,Other Overseas,Overseas,800
Road,02/01/2012 12:00:00 AM,Atlantic Canada,Canada,52800
Road,02/01/2012 12:00:00 AM,Quebec,Canada,700
Road,02/01/2012 12:00:00 AM,Ontario,Canada,2800
Road,02/01/2012 12:00:00 AM,Western Canada,Canada,200
Road,02/01/2012 12:00:00 AM,Maine (by road only),United States,200
Road,02/01/2012 12:00:00 AM,Other New England,United States,700
Road,02/01/2012 12:00:00 AM,Middle Atlantic,United States,100
Road,02/01/2012 12:00:00 AM,East North Central,United States,0
Road,02/01/2012 12:00:00 AM,West North Central,United States,0
Road,02/01/2012 12:00:00 AM,South Atlantic,United States,100
Road,02/01/2012 12:00:00 AM,East South Central,United States,0
Road,02/01/2012 12:00:00 AM,West South Central,United States,0
Road,02/01/2012 12:00:00 AM,Mountain,United States,0
Road,02/01/2012 12:00:00 AM,Pacific,United States,100
Road,02/01/2012 12:00:00 AM,Overseas,Overseas,0
Air,03/01/2012 12:00:00 AM,Atlantic Canada,Canada,8400
Air,03/01/2012 12:00:00 AM,Quebec,Canada,3700
Air,03/01/2012 12:00:00 AM,Ontario,Canada,14900
Air,03/01/2012 12:00:00 AM,Western Canada,Canada,5800
Air,03/01/2012 12:00:00 AM,New England (inc Maine),United States,400
Air,03/01/2012 12:00:00 AM,Middle Atlantic,United States,400
Air,03/01/2012 12:00:00 AM,East North Central,United States,300
Air,03/01/2012 12:00:00 AM,West North Central,United States,100
Air,03/01/2012 12:00:00 AM,South Atlantic,United States,500
Air,03/01/2012 12:00:00 AM,East South Central,United States,0
Air,03/01/2012 12:00:00 AM,West South Central,United States,200
Air,03/01/2012 12:00:00 AM,Mountain,United States,200
Air,03/01/2012 12:00:00 AM,Pacific,United States,300
Air,03/01/2012 12:00:00 AM,United Kingdom,Overseas,1100
Air,03/01/2012 12:00:00 AM,Germany,Overseas,200
Air,03/01/2012 12:00:00 AM,Other Europe,Overseas,300
Air,03/01/2012 12:00:00 AM,Other Overseas,Overseas,500
Road,03/01/2012 12:00:00 AM,Atlantic Canada,Canada,67700
Road,03/01/2012 12:00:00 AM,Quebec,Canada,1200
Road,03/01/2012 12:00:00 AM,Ontario,Canada,4500
Road,03/01/2012 12:00:00 AM,Western Canada,Canada,300
Road,03/01/2012 12:00:00 AM,Maine (by road only),United States,300
Road,03/01/2012 12:00:00 AM,Other New England,United States,800
Road,03/01/2012 12:00:00 AM,Middle Atlantic,United States,200
Road,03/01/2012 12:00:00 AM,East North Central,United States,100
Road,03/01/2012 12:00:00 AM,West North Central,United States,0
Road,03/01/2012 12:00:00 AM,South Atlantic,United States,100
Road,03/01/2012 12:00:00 AM,East South Central,United States,0
Road,03/01/2012 12:00:00 AM,West South Central,United States,0
Road,03/01/2012 12:00:00 AM,Mountain,United States,0
Road,03/01/2012 12:00:00 AM,Pacific,United States,0
Air,04/01/2012 12:00:00 AM,Atlantic Canada,Canada,8000
Air,04/01/2012 12:00:00 AM,Quebec,Canada,2200
Air,04/01/2012 12:00:00 AM,Ontario,Canada,12700
Air,04/01/2012 12:00:00 AM,Western Canada,Canada,5100
Air,04/01/2012 12:00:00 AM,New England (inc Maine),United States,500
Air,04/01/2012 12:00:00 AM,Middle Atlantic,United States,500
Air,04/01/2012 12:00:00 AM,East North Central,United States,300
Air,04/01/2012 12:00:00 AM,West North Central,United States,200
Air,04/01/2012 12:00:00 AM,South Atlantic,United States,500
Air,04/01/2012 12:00:00 AM,East South Central,United States,200
Air,04/01/2012 12:00:00 AM,West South Central,United States,200
Air,04/01/2012 12:00:00 AM,Mountain,United States,100
Air,04/01/2012 12:00:00 AM,Pacific,United States,300
Air,04/01/2012 12:00:00 AM,United Kingdom,Overseas,600
Air,04/01/2012 12:00:00 AM,Germany,Overseas,100
Air,04/01/2012 12:00:00 AM,Other Europe,Overseas,900
Air,04/01/2012 12:00:00 AM,Other Overseas,Overseas,1000
Road,04/01/2012 12:00:00 AM,Atlantic Canada,Canada,71600
Road,04/01/2012 12:00:00 AM,Quebec,Canada,1600
Road,04/01/2012 12:00:00 AM,Ontario,Canada,8300
Road,04/01/2012 12:00:00 AM,Western Canada,Canada,600
Road,04/01/2012 12:00:00 AM,Maine (by road only),United States,600
Road,04/01/2012 12:00:00 AM,Other New England,United States,1400
Road,04/01/2012 12:00:00 AM,Middle Atlantic,United States,400
Road,04/01/2012 12:00:00 AM,East North Central,United States,200
Road,04/01/2012 12:00:00 AM,West North Central,United States,0
Road,04/01/2012 12:00:00 AM,South Atlantic,United States,300
Road,04/01/2012 12:00:00 AM,East South Central,United States,0
Road,04/01/2012 12:00:00 AM,West South Central,United States,100
Road,04/01/2012 12:00:00 AM,Mountain,United States,100
Road,04/01/2012 12:00:00 AM,Pacific,United States,100
Road,04/01/2012 12:00:00 AM,Overseas,Overseas,0
Air,05/01/2012 12:00:00 AM,Atlantic Canada,Canada,8800
Air,05/01/2012 12:00:00 AM,Quebec,Canada,3500
Air,05/01/2012 12:00:00 AM,Ontario,Canada,20800
Air,05/01/2012 12:00:00 AM,Western Canada,Canada,10100
Air,05/01/2012 12:00:00 AM,New England (inc Maine),United States,500
Air,05/01/2012 12:00:00 AM,Middle Atlantic,United States,700
Air,05/01/2012 12:00:00 AM,East North Central,United States,500
Air,05/01/2012 12:00:00 AM,West North Central,United States,200
Air,05/01/2012 12:00:00 AM,South Atlantic,United States,1100
Air,05/01/2012 12:00:00 AM,East South Central,United States,100
Air,05/01/2012 12:00:00 AM,West South Central,United States,300
Air,05/01/2012 12:00:00 AM,Mountain,United States,300
Air,05/01/2012 12:00:00 AM,Pacific,United States,600
Air,05/01/2012 12:00:00 AM,United Kingdom,Overseas,800
Air,05/01/2012 12:00:00 AM,Other Europe,Overseas,1000
Air,05/01/2012 12:00:00 AM,Other Overseas,Overseas,1300
Road,05/01/2012 12:00:00 AM,Atlantic Canada,Canada,79200
Road,05/01/2012 12:00:00 AM,Quebec,Canada,2700
Road,05/01/2012 12:00:00 AM,Ontario,Canada,11200
Road,05/01/2012 12:00:00 AM,Western Canada,Canada,1000
Road,05/01/2012 12:00:00 AM,Maine (by road only),United States,1000
Road,05/01/2012 12:00:00 AM,Other New England,United States,2200
Road,05/01/2012 12:00:00 AM,Middle Atlantic,United States,800
Road,05/01/2012 12:00:00 AM,East North Central,United States,300
Road,05/01/2012 12:00:00 AM,West North Central,United States,100
Road,05/01/2012 12:00:00 AM,South Atlantic,United States,700
Road,05/01/2012 12:00:00 AM,East South Central,United States,0
Road,05/01/2012 12:00:00 AM,West South Central,United States,100
Road,05/01/2012 12:00:00 AM,Mountain,United States,100
Road,05/01/2012 12:00:00 AM,Pacific,United States,100
Road,05/01/2012 12:00:00 AM,Overseas,Overseas,0
Air,06/01/2012 12:00:00 AM,Atlantic Canada,Canada,7900
Air,06/01/2012 12:00:00 AM,Quebec,Canada,2600
Air,06/01/2012 12:00:00 AM,Ontario,Canada,18300
Air,06/01/2012 12:00:00 AM,Western Canada,Canada,10800
Air,06/01/2012 12:00:00 AM,New England (inc Maine),United States,400
Air,06/01/2012 12:00:00 AM,Middle Atlantic,United States,700
Air,06/01/2012 12:00:00 AM,East North Central,United States,800
Air,06/01/2012 12:00:00 AM,West North Central,United States,300
Air,06/01/2012 12:00:00 AM,South Atlantic,United States,1800
Air,06/01/2012 12:00:00 AM,East South Central,United States,200
Air,06/01/2012 12:00:00 AM,West South Central,United States,600
Air,06/01/2012 12:00:00 AM,Mountain,United States,600
Air,06/01/2012 12:00:00 AM,Pacific,United States,1000
Air,06/01/2012 12:00:00 AM,United Kingdom,Overseas,1400
Air,06/01/2012 12:00:00 AM,Germany,Overseas,1000
Air,06/01/2012 12:00:00 AM,Other Europe,Overseas,1200
Air,06/01/2012 12:00:00 AM,Other Overseas,Overseas,3200
Road,06/01/2012 12:00:00 AM,Atlantic Canada,Canada,82800
Road,06/01/2012 12:00:00 AM,Quebec,Canada,5500
Road,06/01/2012 12:00:00 AM,Ontario,Canada,20700
Road,06/01/2012 12:00:00 AM,Western Canada,Canada,1900
Road,06/01/2012 12:00:00 AM,Maine (by road only),United States,1600
Road,06/01/2012 12:00:00 AM,Other New England,United States,3900
Road,06/01/2012 12:00:00 AM,Middle Atlantic,United States,2200
Road,06/01/2012 12:00:00 AM,East North Central,United States,800
Road,06/01/2012 12:00:00 AM,West North Central,United States,200
Road,06/01/2012 12:00:00 AM,South Atlantic,United States,1400
Road,06/01/2012 12:00:00 AM,East South Central,United States,100
Road,06/01/2012 12:00:00 AM,West South Central,United States,200
Road,06/01/2012 12:00:00 AM,Mountain,United States,300
Road,06/01/2012 12:00:00 AM,Pacific,United States,200
Road,06/01/2012 12:00:00 AM,Overseas,Overseas,0
Air,07/01/2012 12:00:00 AM,Atlantic Canada,Canada,8400
Air,07/01/2012 12:00:00 AM,Quebec,Canada,5700
Air,07/01/2012 12:00:00 AM,Ontario,Canada,26700
Air,07/01/2012 12:00:00 AM,Western Canada,Canada,16100
Air,07/01/2012 12:00:00 AM,New England (inc Maine),United States,1200
Air,07/01/2012 12:00:00 AM,Middle Atlantic,United States,2000
Air,07/01/2012 12:00:00 AM,East North Central,United States,1800
Air,07/01/2012 12:00:00 AM,West North Central,United States,600
Air,07/01/2012 12:00:00 AM,South Atlantic,United States,2900
Air,07/01/2012 12:00:00 AM,East South Central,United States,800
Air,07/01/2012 12:00:00 AM,West South Central,United States,800
Air,07/01/2012 12:00:00 AM,Mountain,United States,400
Air,07/01/2012 12:00:00 AM,Pacific,United States,1200
Air,07/01/2012 12:00:00 AM,United Kingdom,Overseas,2100
Air,07/01/2012 12:00:00 AM,Germany,Overseas,1700
Air,07/01/2012 12:00:00 AM,Other Europe,Overseas,2300
Air,07/01/2012 12:00:00 AM,Other Overseas,Overseas,3300
Road,07/01/2012 12:00:00 AM,Atlantic Canada,Canada,123400
Road,07/01/2012 12:00:00 AM,Quebec,Canada,17100
Road,07/01/2012 12:00:00 AM,Ontario,Canada,62400
Road,07/01/2012 12:00:00 AM,Western Canada,Canada,4400
Road,07/01/2012 12:00:00 AM,Maine (by road only),United States,2900
Road,07/01/2012 12:00:00 AM,Other New England,United States,8800
Road,07/01/2012 12:00:00 AM,Middle Atlantic,United States,4700
Road,07/01/2012 12:00:00 AM,East North Central,United States,1600
Road,07/01/2012 12:00:00 AM,West North Central,United States,500
Road,07/01/2012 12:00:00 AM,South Atlantic,United States,3600
Road,07/01/2012 12:00:00 AM,East South Central,United States,400
Road,07/01/2012 12:00:00 AM,West South Central,United States,600
Road,07/01/2012 12:00:00 AM,Mountain,United States,700
Road,07/01/2012 12:00:00 AM,Pacific,United States,500
Road,07/01/2012 12:00:00 AM,Overseas,Overseas,0
Air,08/01/2012 12:00:00 AM,Atlantic Canada,Canada,6700
Air,08/01/2012 12:00:00 AM,Quebec,Canada,3200
Air,08/01/2012 12:00:00 AM,Ontario,Canada,39700
Air,08/01/2012 12:00:00 AM,Western Canada,Canada,27700
Air,08/01/2012 12:00:00 AM,New England (inc Maine),United States,1300
Air,08/01/2012 12:00:00 AM,Middle Atlantic,United States,3000
Air,08/01/2012 12:00:00 AM,East North Central,United States,2400
Air,08/01/2012 12:00:00 AM,West North Central,United States,600
Air,08/01/2012 12:00:00 AM,South Atlantic,United States,3500
Air,08/01/2012 12:00:00 AM,East South Central,United States,600
Air,08/01/2012 12:00:00 AM,West South Central,United States,1100
Air,08/01/2012 12:00:00 AM,Mountain,United States,1100
Air,08/01/2012 12:00:00 AM,Pacific,United States,1800
Air,08/01/2012 12:00:00 AM,United Kingdom,Overseas,3100
Air,08/01/2012 12:00:00 AM,Germany,Overseas,2000
Air,08/01/2012 12:00:00 AM,Other Europe,Overseas,3700
Air,08/01/2012 12:00:00 AM,Other Overseas,Overseas,4500
Road,08/01/2012 12:00:00 AM,Atlantic Canada,Canada,130400
Road,08/01/2012 12:00:00 AM,Quebec,Canada,15700
Road,08/01/2012 12:00:00 AM,Ontario,Canada,62900
Road,08/01/2012 12:00:00 AM,Western Canada,Canada,3400
Road,08/01/2012 12:00:00 AM,Maine (by road only),United States,2900
Road,08/01/2012 12:00:00 AM,Other New England,United States,8600
Road,08/01/2012 12:00:00 AM,Middle Atlantic,United States,5000
Road,08/01/2012 12:00:00 AM,East North Central,United States,1700
Road,08/01/2012 12:00:00 AM,West North Central,United States,700
Road,08/01/2012 12:00:00 AM,South Atlantic,United States,3400
Road,08/01/2012 12:00:00 AM,East South Central,United States,200
Road,08/01/2012 12:00:00 AM,West South Central,United States,600
Road,08/01/2012 12:00:00 AM,Mountain,United States,600
Road,08/01/2012 12:00:00 AM,Pacific,United States,500
Road,08/01/2012 12:00:00 AM,Overseas,Overseas,0
Air,09/01/2012 12:00:00 AM,Atlantic Canada,Canada,7700
Air,09/01/2012 12:00:00 AM,Quebec,Canada,3000
Air,09/01/2012 12:00:00 AM,Ontario,Canada,23600
Air,09/01/2012 12:00:00 AM,Western Canada,Canada,14300
Air,09/01/2012 12:00:00 AM,New England (inc Maine),United States,800
Air,09/01/2012 12:00:00 AM,Middle Atlantic,United States,1500
Air,09/01/2012 12:00:00 AM,East North Central,United States,1600
Air,09/01/2012 12:00:00 AM,West North Central,United States,600
Air,09/01/2012 12:00:00 AM,South Atlantic,United States,2600
Air,09/01/2012 12:00:00 AM,East South Central,United States,200
Air,09/01/2012 12:00:00 AM,West South Central,United States,500
Air,09/01/2012 12:00:00 AM,Mountain,United States,700
Air,09/01/2012 12:00:00 AM,Pacific,United States,1400
Air,09/01/2012 12:00:00 AM,United Kingdom,Overseas,3900
Air,09/01/2012 12:00:00 AM,Germany,Overseas,2000
Air,09/01/2012 12:00:00 AM,Other Europe,Overseas,2200
Air,09/01/2012 12:00:00 AM,Other Overseas,Overseas,3000
Road,09/01/2012 12:00:00 AM,Atlantic Canada,Canada,80600
Road,09/01/2012 12:00:00 AM,Quebec,Canada,4200
Road,09/01/2012 12:00:00 AM,Ontario,Canada,21200
Road,09/01/2012 12:00:00 AM,Western Canada,Canada,2100
Road,09/01/2012 12:00:00 AM,Maine (by road only),United States,1400
Road,09/01/2012 12:00:00 AM,Other New England,United States,3800
Road,09/01/2012 12:00:00 AM,Middle Atlantic,United States,3000
Road,09/01/2012 12:00:00 AM,East North Central,United States,1300
Road,04/01/2013 12:00:00 AM,Overseas,Overseas,0
Road,09/01/2012 12:00:00 AM,West North Central,United States,500
Road,09/01/2012 12:00:00 AM,South Atlantic,United States,1800
Road,09/01/2012 12:00:00 AM,East South Central,United States,100
Road,09/01/2012 12:00:00 AM,West South Central,United States,400
Road,09/01/2012 12:00:00 AM,Mountain,United States,300
Road,09/01/2012 12:00:00 AM,Pacific,United States,300
Road,09/01/2012 12:00:00 AM,Overseas,Overseas,0
Air,10/01/2012 12:00:00 AM,Atlantic Canada,Canada,11000
Air,10/01/2012 12:00:00 AM,Quebec,Canada,3800
Air,10/01/2012 12:00:00 AM,Ontario,Canada,18700
Air,10/01/2012 12:00:00 AM,Western Canada,Canada,12900
Air,10/01/2012 12:00:00 AM,New England (inc Maine),United States,700
Air,10/01/2012 12:00:00 AM,Middle Atlantic,United States,700
Air,10/01/2012 12:00:00 AM,East North Central,United States,900
Air,10/01/2012 12:00:00 AM,West North Central,United States,400
Air,10/01/2012 12:00:00 AM,South Atlantic,United States,1600
Air,10/01/2012 12:00:00 AM,East South Central,United States,200
Air,10/01/2012 12:00:00 AM,West South Central,United States,400
Air,10/01/2012 12:00:00 AM,Mountain,United States,500
Air,10/01/2012 12:00:00 AM,Pacific,United States,1100
Air,10/01/2012 12:00:00 AM,United Kingdom,Overseas,3400
Air,10/01/2012 12:00:00 AM,Germany,Overseas,500
Air,10/01/2012 12:00:00 AM,Other Europe,Overseas,900
Air,10/01/2012 12:00:00 AM,Other Overseas,Overseas,2400
Road,10/01/2012 12:00:00 AM,Atlantic Canada,Canada,80000
Road,10/01/2012 12:00:00 AM,Quebec,Canada,3100
Road,10/01/2012 12:00:00 AM,Ontario,Canada,10900
Road,10/01/2012 12:00:00 AM,Western Canada,Canada,1300
Road,10/01/2012 12:00:00 AM,Maine (by road only),United States,1000
Road,10/01/2012 12:00:00 AM,Other New England,United States,2100
Road,10/01/2012 12:00:00 AM,Middle Atlantic,United States,1300
Road,10/01/2012 12:00:00 AM,East North Central,United States,400
Road,10/01/2012 12:00:00 AM,West North Central,United States,100
Road,10/01/2012 12:00:00 AM,South Atlantic,United States,700
Road,10/01/2012 12:00:00 AM,East South Central,United States,100
Road,10/01/2012 12:00:00 AM,West South Central,United States,100
Road,10/01/2012 12:00:00 AM,Mountain,United States,200
Road,10/01/2012 12:00:00 AM,Pacific,United States,200
Road,10/01/2012 12:00:00 AM,Overseas,Overseas,0
Air,11/01/2012 12:00:00 AM,Atlantic Canada,Canada,8800
Air,11/01/2012 12:00:00 AM,Quebec,Canada,3900
Air,11/01/2012 12:00:00 AM,Ontario,Canada,14800
Air,11/01/2012 12:00:00 AM,Western Canada,Canada,5700
Air,11/01/2012 12:00:00 AM,New England (inc Maine),United States,300
Air,11/01/2012 12:00:00 AM,Middle Atlantic,United States,400
Air,11/01/2012 12:00:00 AM,East North Central,United States,400
Air,11/01/2012 12:00:00 AM,West North Central,United States,100
Air,11/01/2012 12:00:00 AM,South Atlantic,United States,900
Air,11/01/2012 12:00:00 AM,East South Central,United States,100
Air,11/01/2012 12:00:00 AM,West South Central,United States,200
Air,11/01/2012 12:00:00 AM,Mountain,United States,200
Air,11/01/2012 12:00:00 AM,Pacific,United States,600
Air,11/01/2012 12:00:00 AM,United Kingdom,Overseas,600
Air,11/01/2012 12:00:00 AM,Germany,Overseas,100
Air,11/01/2012 12:00:00 AM,Other Europe,Overseas,800
Air,11/01/2012 12:00:00 AM,Other Overseas,Overseas,800
Road,11/01/2012 12:00:00 AM,Atlantic Canada,Canada,72800
Road,11/01/2012 12:00:00 AM,Quebec,Canada,1400
Road,11/01/2012 12:00:00 AM,Ontario,Canada,7000
Road,11/01/2012 12:00:00 AM,Western Canada,Canada,400
Road,11/01/2012 12:00:00 AM,Maine (by road only),United States,500
Road,11/01/2012 12:00:00 AM,Other New England,United States,1300
Road,11/01/2012 12:00:00 AM,Middle Atlantic,United States,300
Road,11/01/2012 12:00:00 AM,East North Central,United States,100
Road,11/01/2012 12:00:00 AM,West North Central,United States,0
Road,11/01/2012 12:00:00 AM,South Atlantic,United States,200
Road,11/01/2012 12:00:00 AM,East South Central,United States,0
Road,11/01/2012 12:00:00 AM,West South Central,United States,0
Road,11/01/2012 12:00:00 AM,Mountain,United States,100
Road,11/01/2012 12:00:00 AM,Pacific,United States,100
Road,11/01/2012 12:00:00 AM,Overseas,Overseas,0
Air,12/01/2012 12:00:00 AM,Atlantic Canada,Canada,8600
Air,12/01/2012 12:00:00 AM,Quebec,Canada,2800
Air,12/01/2012 12:00:00 AM,Ontario,Canada,18200
Air,12/01/2012 12:00:00 AM,Western Canada,Canada,9100
Air,12/01/2012 12:00:00 AM,New England (inc Maine),United States,500
Air,12/01/2012 12:00:00 AM,Middle Atlantic,United States,300
Air,12/01/2012 12:00:00 AM,East North Central,United States,300
Air,12/01/2012 12:00:00 AM,West North Central,United States,100
Air,12/01/2012 12:00:00 AM,South Atlantic,United States,500
Air,12/01/2012 12:00:00 AM,East South Central,United States,200
Air,12/01/2012 12:00:00 AM,West South Central,United States,200
Air,12/01/2012 12:00:00 AM,Mountain,United States,100
Air,12/01/2012 12:00:00 AM,Pacific,United States,200
Air,12/01/2012 12:00:00 AM,United Kingdom,Overseas,500
Air,12/01/2012 12:00:00 AM,Germany,Overseas,0
Air,12/01/2012 12:00:00 AM,Other Europe,Overseas,600
Air,12/01/2012 12:00:00 AM,Other Overseas,Overseas,1300
Road,12/01/2012 12:00:00 AM,Atlantic Canada,Canada,68600
Road,12/01/2012 12:00:00 AM,Quebec,Canada,1100
Road,12/01/2012 12:00:00 AM,Ontario,Canada,7000
Road,12/01/2012 12:00:00 AM,Western Canada,Canada,400
Air,06/01/2013 12:00:00 AM,Germany,Overseas,900
Road,12/01/2012 12:00:00 AM,Maine (by road only),United States,300
Road,12/01/2012 12:00:00 AM,Other New England,United States,1300
Road,12/01/2012 12:00:00 AM,Middle Atlantic,United States,300
Road,12/01/2012 12:00:00 AM,East North Central,United States,100
Road,12/01/2012 12:00:00 AM,West North Central,United States,0
Road,12/01/2012 12:00:00 AM,South Atlantic,United States,200
Road,12/01/2012 12:00:00 AM,East South Central,United States,0
Road,12/01/2012 12:00:00 AM,West South Central,United States,0
Road,12/01/2012 12:00:00 AM,Mountain,United States,100
Road,12/01/2012 12:00:00 AM,Pacific,United States,0
