Mode of entry,Month/Year,Visitor Origin,Country,Number of Visitors (Rounded to nearest hundred)
Road,07/01/2006 12:00:00 AM,Mountain,United States,1300
Road,07/01/2006 12:00:00 AM,Pacific,United States,1800
Road,07/01/2006 12:00:00 AM,Overseas,Overseas,0
Air,08/01/2006 12:00:00 AM,Atlantic Canada,Canada,5600
Air,08/01/2006 12:00:00 AM,Quebec,Canada,5500
Air,08/01/2006 12:00:00 AM,Ontario,Canada,36600
Air,08/01/2006 12:00:00 AM,Western Canada,Canada,21700
Air,08/01/2006 12:00:00 AM,New England (inc Maine),United States,2100
Air,08/01/2006 12:00:00 AM,Middle Atlantic,United States,3200
Air,08/01/2006 12:00:00 AM,East North Central,United States,2900
Air,08/01/2006 12:00:00 AM,West North Central,United States,900
Air,08/01/2006 12:00:00 AM,South Atlantic,United States,4800
Air,08/01/2006 12:00:00 AM,East South Central,United States,400
Air,08/01/2006 12:00:00 AM,West South Central,United States,1300
Air,08/01/2006 12:00:00 AM,Mountain,United States,1200
Air,08/01/2006 12:00:00 AM,Pacific,United States,2500
Air,08/01/2006 12:00:00 AM,United Kingdom,Overseas,2900
Air,08/01/2006 12:00:00 AM,Germany,Overseas,4200
Air,08/01/2006 12:00:00 AM,Other Europe,Overseas,3400
Air,08/01/2006 12:00:00 AM,Other Overseas,Overseas,3300
Road,08/01/2006 12:00:00 AM,Atlantic Canada,Canada,119000
Road,08/01/2006 12:00:00 AM,Quebec,Canada,14900
Road,08/01/2006 12:00:00 AM,Ontario,Canada,47100
Road,08/01/2006 12:00:00 AM,Western Canada,Canada,3500
Road,08/01/2006 12:00:00 AM,Maine (by road only),United States,3400
Road,08/01/2006 12:00:00 AM,Other New England,United States,11700
Road,08/01/2006 12:00:00 AM,Middle Atlantic,United States,8100
Road,08/01/2006 12:00:00 AM,East North Central,United States,2400
Road,08/01/2006 12:00:00 AM,West North Central,United States,900
Road,08/01/2006 12:00:00 AM,South Atlantic,United States,4300
Road,08/01/2006 12:00:00 AM,East South Central,United States,400
Road,08/01/2006 12:00:00 AM,West South Central,United States,1000
Road,08/01/2006 12:00:00 AM,Mountain,United States,1000
Road,08/01/2006 12:00:00 AM,Pacific,United States,1300
Road,08/01/2006 12:00:00 AM,Overseas,Overseas,0
Air,09/01/2006 12:00:00 AM,Atlantic Canada,Canada,8900
Air,09/01/2006 12:00:00 AM,Quebec,Canada,4500
Air,09/01/2006 12:00:00 AM,Ontario,Canada,23400
Air,09/01/2006 12:00:00 AM,Western Canada,Canada,14200
Air,09/01/2006 12:00:00 AM,New England (inc Maine),United States,1400
Air,09/01/2006 12:00:00 AM,Middle Atlantic,United States,2100
Air,09/01/2006 12:00:00 AM,East North Central,United States,1600
Air,09/01/2006 12:00:00 AM,West North Central,United States,700
Air,09/01/2006 12:00:00 AM,South Atlantic,United States,2800
Air,09/01/2006 12:00:00 AM,East South Central,United States,400
Air,09/01/2006 12:00:00 AM,West South Central,United States,900
Air,09/01/2006 12:00:00 AM,Mountain,United States,900
Air,09/01/2006 12:00:00 AM,Pacific,United States,1700
Air,09/01/2006 12:00:00 AM,United Kingdom,Overseas,3500
Air,09/01/2006 12:00:00 AM,Germany,Overseas,1300
Air,09/01/2006 12:00:00 AM,Other Europe,Overseas,2000
Air,09/01/2006 12:00:00 AM,Other Overseas,Overseas,2500
Road,09/01/2006 12:00:00 AM,Atlantic Canada,Canada,103800
Road,09/01/2006 12:00:00 AM,Quebec,Canada,4600
Road,09/01/2006 12:00:00 AM,Ontario,Canada,22000
Road,09/01/2006 12:00:00 AM,Western Canada,Canada,2900
Road,09/01/2006 12:00:00 AM,Maine (by road only),United States,2200
Road,09/01/2006 12:00:00 AM,Other New England,United States,6900
Road,09/01/2006 12:00:00 AM,Middle Atlantic,United States,5000
Road,09/01/2006 12:00:00 AM,East North Central,United States,2500
Road,09/01/2006 12:00:00 AM,West North Central,United States,600
Road,09/01/2006 12:00:00 AM,South Atlantic,United States,3300
Road,09/01/2006 12:00:00 AM,East South Central,United States,400
Road,09/01/2006 12:00:00 AM,West South Central,United States,500
Road,09/01/2006 12:00:00 AM,Mountain,United States,600
Road,09/01/2006 12:00:00 AM,Pacific,United States,1000
Road,09/01/2006 12:00:00 AM,Overseas,Overseas,0
Air,10/01/2006 12:00:00 AM,Atlantic Canada,Canada,6100
Air,10/01/2006 12:00:00 AM,Quebec,Canada,4100
Air,10/01/2006 12:00:00 AM,Ontario,Canada,20100
Air,10/01/2006 12:00:00 AM,Western Canada,Canada,11400
Air,10/01/2006 12:00:00 AM,New England (inc Maine),United States,1100
Air,10/01/2006 12:00:00 AM,Middle Atlantic,United States,1500
Air,10/01/2006 12:00:00 AM,East North Central,United States,1100
Air,10/01/2006 12:00:00 AM,West North Central,United States,400
